Site.ID,Wetland Subclass LUCAS,BGSStock,Mean BGSCDensity TC.g.m.2.per.cm,MeanCDensityBGSBottom,MeanCDensityBGSTop
BA-01-04,Estuarine Herbaceous,56376.77133621473,563.7677133621473,569.3133499999999,550.8278945404912
CRMS0175,Estuarine Herbaceous,37892.07090172884,378.9207090172884,417.7736,288.2639633909614
CRMS0211,Palustrine Herbaceous,49762.3521113133,497.62352111313305,567.2461333333332,335.1707592659994
CRMS0224,Estuarine Herbaceous,45950.82012033666,459.50820120336664,507.0254249999999,348.6346790112223
CRMS0225,Estuarine Herbaceous,62630.059522975425,626.3005952297542,733.5489749999999,376.05437576584774
CRMS0237,Estuarine Herbaceous,35093.91489012739,350.9391489012739,368.793725,309.27847133757956
CRMS0253,Estuarine Herbaceous,47736.93694790718,477.36936947907185,552.5190749999999,302.0200565969062
CRMS0273,Palustrine Herbaceous,56445.22322144374,564.4522322144373,627.309,417.78644071479124
CRMS0305,Estuarine Herbaceous,39816.345045723385,398.16345045723386,485.182175,195.11975985744613
CRMS0309,Estuarine Herbaceous,39826.12453139217,398.2612453139217,466.83689999999996,238.25138437973908
CRMS0327,Palustrine Herbaceous,46377.6334633758,463.77633463375804,503.72367500000007,370.56587377919317
CRMS0331,Palustrine Herbaceous,68470.9943143767,684.709943143767,738.69195,558.7519271458901
CRMS0337,Estuarine Herbaceous,37141.03965423112,371.4103965423112,422.9906,251.05658847437067
CRMS0367,Palustrine Herbaceous,45700.531863057324,457.00531863057324,459.08425,452.15447876857746
CRMS0377,Estuarine Herbaceous,33943.94652866242,339.43946528662417,368.5834,271.436950955414
CRMS0398,Estuarine Herbaceous,53832.62411434638,538.3262411434638,624.8383666666667,336.46461492265684
CRMS0399,Estuarine Herbaceous,49770.90392212617,497.7090392212617,598.969175,261.4353890708725
CRMS2825,Estuarine Herbaceous,64693.15661806187,646.9315661806187,739.5626249999999,430.7924289353958
CRMS3166,Palustrine Herbaceous,73041.3133218077,730.413133218077,829.4246666666667,499.3862218380345
CRMS3565,Estuarine Herbaceous,53948.12051524112,539.4812051524112,648.7492249999999,284.52249217470427
CRMS3617,Estuarine Herbaceous,52575.14468676069,525.7514468676069,580.5733749999999,397.83361455868965
CRMS4045,Estuarine Herbaceous,45499.70871337579,454.9970871337579,527.5326999999999,285.7473237791932
CRMS4245,Estuarine Herbaceous,104937.87378616925,1049.3787378616926,1308.0073142857143,445.91205953897475
CRMS4455,Estuarine Herbaceous,43434.45508007279,434.34455080072786,542.5257,181.92186933575977
